la_district_code,la_district_name,domain,rank
E08000023,South Tyneside,Health,8
E08000024,Sunderland,Health,6
E08000025,Birmingham,Health,19
E08000026,Coventry,Health,33
E08000027,Dudley,Health,68
E08000028,Sandwell,Health,22
E08000029,Solihull,Health,97
E08000030,Walsall,Health,36
E08000031,Wolverhampton,Health,25
E08000032,Bradford,Health,32
E08000033,Calderdale,Health,56
E08000034,Kirklees,Health,58
E08000035,Leeds,Health,70
E08000036,Wakefield,Health,30
E08000037,Gateshead,Health,21
E09000001,City of London,Health,121
E09000002,Barking and Dagenham,Health,53
E09000003,Barnet,Health,141
E09000004,Bexley,Health,115
E09000005,Brent,Health,108
E09000006,Bromley,Health,139
E09000007,Camden,Health,73
E09000008,Croydon,Health,94
E09000009,Ealing,Health,110
E09000010,Enfield,Health,103
E09000011,Greenwich,Health,69
E09000012,Hackney,Health,26
E09000013,Hammersmith and Fulham,Health,78
E09000014,Haringey,Health,89
E09000015,Harrow,Health,144
E09000016,Havering,Health,118
E09000017,Hillingdon,Health,113
E09000018,Hounslow,Health,125
E09000019,Islington,Health,47
E09000020,Kensington and Chelsea,Health,130
E09000021,Kingston upon Thames,Health,143
E09000022,Lambeth,Health,75
E09000023,Lewisham,Health,62
E09000024,Merton,Health,140
E09000025,Newham,Health,71
E09000026,Redbridge,Health,132
E09000027,Richmond upon Thames,Health,150
E09000028,Southwark,Health,67
E09000029,Sutton,Health,133
E09000030,Tower Hamlets,Health,48
E09000031,Waltham Forest,Health,92
E09000032,Wandsworth,Health,131
E09000033,Westminster,Health,100
E10000003,Cambridgeshire,Health,136
E10000007,Derbyshire,Health,65
E10000008,Devon,Health,96
E10000011,East Sussex,Health,84
E10000012,Essex,Health,111
E10000013,Gloucestershire,Health,126
E10000014,Hampshire,Health,135
E10000015,Hertfordshire,Health,138
E10000016,Kent,Health,95
E10000017,Lancashire,Health,55
E10000018,Leicestershire,Health,124
E10000019,Lincolnshire,Health,76
E10000020,Norfolk,Health,88
E10000024,Nottinghamshire,Health,81
E10000025,Oxfordshire,Health,146
E10000028,Staffordshire,Health,83
E10000029,Suffolk,Health,98
E10000030,Surrey,Health,145
E10000031,Warwickshire,Health,99
E10000032,West Sussex,Health,119
E10000034,Worcestershire,Health,104
E06000001,Hartlepool,Crime,19
E06000002,Middlesbrough,Crime,4
E06000003,Redcar and Cleveland,Crime,39
E06000004,Stockton-on-Tees,Crime,73
E06000005,Darlington,Crime,62
E06000006,Halton,Crime,44
E06000007,Warrington,Crime,99
E06000008,Blackburn with Darwen,Crime,37
E06000009,Blackpool,Crime,2
E06000010,"Kingston upon Hull, City of",Crime,3
E06000011,East Riding of Yorkshire,Crime,136
E06000012,North East Lincolnshire,Crime,42
E06000013,North Lincolnshire,Crime,77
E06000014,York,Crime,135
E06000015,Derby,Crime,51
E06000016,Leicester,Crime,16
E06000017,Rutland,Crime,151
E06000018,Nottingham,Crime,14
E06000019,"Herefordshire, County of",Crime,142
E06000020,Telford and Wrekin,Crime,78
E06000021,Stoke-on-Trent,Crime,27
E06000022,Bath and North East Somerset,Crime,130
E06000023,"Bristol, City of",Crime,40
E06000024,North Somerset,Crime,121
E06000025,South Gloucestershire,Crime,131
E06000026,Plymouth,Crime,84
E06000027,Torbay,Crime,88
E06000030,Swindon,Crime,105
E06000031,Peterborough,Crime,46
E06000032,Luton,Crime,74
E06000033,Southend-on-Sea,Crime,60
E06000034,Thurrock,Crime,61
E06000035,Medway,Crime,30
E06000036,Bracknell Forest,Crime,140
E06000037,West Berkshire,Crime,146
E06000038,Reading,Crime,71
E06000039,Slough,Crime,34
E06000040,Windsor and Maidenhead,Crime,139
E06000041,Wokingham,Crime,150
E06000042,Milton Keynes,Crime,90
E06000043,Brighton and Hove,Crime,83
E06000044,Portsmouth,Crime,17
E06000045,Southampton,Crime,5
E06000046,Isle of Wight,Crime,93
E06000047,County Durham,Crime,49
E06000049,Cheshire East,Crime,111
E06000050,Cheshire West and Chester,Crime,108
E06000051,Shropshire,Crime,143
E06000052,Cornwall,Crime,145
E06000053,Isles of Scilly,Crime,153
E06000054,Wiltshire,Crime,147
E06000055,Bedford,Crime,100
E06000056,Central Bedfordshire,Crime,127
E06000057,Northumberland,Crime,94
E06000058,"Bournemouth, Christchurch and Poole",Crime,81
E06000059,Dorset,Crime,144
E06000060,Buckinghamshire,Crime,138
E06000061,North Northamptonshire,Crime,92
E06000062,West Northamptonshire,Crime,96
E06000063,Cumberland,Crime,101
E06000064,Westmorland and Furness,Crime,137
E06000065,North Yorkshire,Crime,148
E06000066,Somerset,Crime,119
E08000001,Bolton,Crime,13
E08000002,Bury,Crime,54
E08000003,Manchester,Crime,1
E08000004,Oldham,Crime,7
E08000005,Rochdale,Crime,6
E08000006,Salford,Crime,8
E08000007,Stockport,Crime,79
E08000008,Tameside,Crime,10
E08000009,Trafford,Crime,95
E08000010,Wigan,Crime,47
E08000011,Knowsley,Crime,58
E08000012,Liverpool,Crime,21
E08000013,St. Helens,Crime,65
E08000014,Sefton,Crime,91
E08000015,Wirral,Crime,89
E08000016,Barnsley,Crime,25
E08000017,Doncaster,Crime,11
E08000018,Rotherham,Crime,52
E08000019,Sheffield,Crime,63
E08000021,Newcastle upon Tyne,Crime,41
E08000022,North Tyneside,Crime,72
E08000023,South Tyneside,Crime,24
E08000024,Sunderland,Crime,32
E08000025,Birmingham,Crime,15
E08000026,Coventry,Crime,59
E08000027,Dudley,Crime,82
E08000028,Sandwell,Crime,20
E08000029,Solihull,Crime,106
E08000030,Walsall,Crime,45
E08000031,Wolverhampton,Crime,22
E08000032,Bradford,Crime,9
E08000033,Calderdale,Crime,33
E08000034,Kirklees,Crime,38
E08000035,Leeds,Crime,31
E08000036,Wakefield,Crime,18
E08000037,Gateshead,Crime,48
E09000001,City of London,Crime,152
E09000002,Barking and Dagenham,Crime,36
E09000003,Barnet,Crime,98
E09000004,Bexley,Crime,103
E09000005,Brent,Crime,64
E09000006,Bromley,Crime,115
E09000007,Camden,Crime,67
E09000008,Croydon,Crime,75
E09000009,Ealing,Crime,76
E09000010,Enfield,Crime,66
E09000011,Greenwich,Crime,35
E09000012,Hackney,Crime,12
E09000013,Hammersmith and Fulham,Crime,69
E09000014,Haringey,Crime,23
E09000015,Harrow,Crime,124
E09000016,Havering,Crime,107
E09000017,Hillingdon,Crime,80
E09000018,Hounslow,Crime,57
E09000019,Islington,Crime,26
E09000020,Kensington and Chelsea,Crime,56
E09000021,Kingston upon Thames,Crime,133
E09000022,Lambeth,Crime,43
E09000023,Lewisham,Crime,29
E09000024,Merton,Crime,109
E09000025,Newham,Crime,53
E09000026,Redbridge,Crime,86
E09000027,Richmond upon Thames,Crime,132
E09000028,Southwark,Crime,50
E09000029,Sutton,Crime,110
E09000030,Tower Hamlets,Crime,28
E09000031,Waltham Forest,Crime,68
E09000032,Wandsworth,Crime,97
E09000033,Westminster,Crime,55
E10000003,Cambridgeshire,Crime,129
E10000007,Derbyshire,Crime,102
E10000008,Devon,Crime,149
E10000011,East Sussex,Crime,113
E10000012,Essex,Crime,87
E10000013,Gloucestershire,Crime,118
E10000014,Hampshire,Crime,117
E10000015,Hertfordshire,Crime,122
E10000016,Kent,Crime,70
E10000017,Lancashire,Crime,85
E10000018,Leicestershire,Crime,114
E10000019,Lincolnshire,Crime,116
E10000020,Norfolk,Crime,125
E10000024,Nottinghamshire,Crime,104
E10000025,Oxfordshire,Crime,141
E10000028,Staffordshire,Crime,134
E10000029,Suffolk,Crime,128
E10000030,Surrey,Crime,123
E10000031,Warwickshire,Crime,112
E10000032,West Sussex,Crime,126
E10000034,Worcestershire,Crime,120
E06000001,Hartlepool,Barriers,132
E06000002,Middlesbrough,Barriers,80
E06000003,Redcar and Cleveland,Barriers,118
E06000004,Stockton-on-Tees,Barriers,137
E06000005,Darlington,Barriers,141
E06000006,Halton,Barriers,103
E06000007,Warrington,Barriers,136
E06000008,Blackburn with Darwen,Barriers,45
E06000009,Blackpool,Barriers,126
E06000010,"Kingston upon Hull, City of",Barriers,82
E06000011,East Riding of Yorkshire,Barriers,86
E06000012,North East Lincolnshire,Barriers,114
E06000013,North Lincolnshire,Barriers,70
E06000014,York,Barriers,130
E06000015,Derby,Barriers,122
E06000016,Leicester,Barriers,6
E06000017,Rutland,Barriers,39
E06000018,Nottingham,Barriers,79
E06000019,"Herefordshire, County of",Barriers,26
E06000020,Telford and Wrekin,Barriers,59
E06000021,Stoke-on-Trent,Barriers,115
E06000022,Bath and North East Somerset,Barriers,99
E06000023,"Bristol, City of",Barriers,131
E06000024,North Somerset,Barriers,89
E06000025,South Gloucestershire,Barriers,112
E06000026,Plymouth,Barriers,106
E06000027,Torbay,Barriers,63
E06000030,Swindon,Barriers,91
E06000031,Peterborough,Barriers,21
E06000032,Luton,Barriers,11
E06000033,Southend-on-Sea,Barriers,119
E06000034,Thurrock,Barriers,31
E06000035,Medway,Barriers,27
E06000036,Bracknell Forest,Barriers,43
E06000037,West Berkshire,Barriers,62
E06000038,Reading,Barriers,47
E06000039,Slough,Barriers,5
E06000040,Windsor and Maidenhead,Barriers,84
E06000041,Wokingham,Barriers,88
E06000042,Milton Keynes,Barriers,12
E06000043,Brighton and Hove,Barriers,81
E06000044,Portsmouth,Barriers,72
